"id","date","area","fixture_or_surface","langfuse_source_truth","kolm_target","acceptance_or_loss_rule","risk","recommended_action","status","sources"
"LFI-011","2026-05-13","Usage Cost","usageDetails costDetails totalCost","Langfuse observation examples include usage and cost detail fields for model calls.","metrics prompt_tokens completion_tokens total_tokens and cost_usd.","Expected rows must preserve token and cost fields or record loss by source path.","Cost-saving claims cannot be measured if import drops spend evidence.","Add usage and cost preservation assertions.","open","langfuse-observations-api-current-2026-05-13"
"LFI-012","2026-05-13","Model Timing Prompt","model prompt latency ttft","Langfuse observation fields include model prompt linkage latency and time-to-first-token style metrics.","metrics model latency_us first_token_latency_us and prompt refs.","Fixture must convert seconds to microseconds deterministically and preserve prompt ids as source refs.","Latency and prompt lineage are common buyer proof fields.","Add model timing and prompt-reference examples to observations-v2.json.","open","langfuse-observations-api-current-2026-05-13"
"LFI-013","2026-05-13","Numeric Scores","numeric score row","Langfuse scores support numeric values and configs with ranges.","kolm-score-1 numeric score evidence with scale direction and threshold from score-map.","Fixture must fail closed if numeric direction or threshold is missing for eval selection.","Numeric values from external systems can invert quality semantics.","Require explicit score-map for every numeric score used beyond evidence.","open","langfuse-scores-overview-current-2026-05-13; external-score-normalization-audit-2026-05-13.md"
"LFI-014","2026-05-13","Boolean Scores","boolean score row","Langfuse scores support boolean values attached to traces observations sessions or dataset runs.","kolm-score-1 boolean evidence with scorer origin and attachment target.","Boolean rows may become eval-selection evidence only through a source-approved score-map.","A boolean pass flag can be mistaken for Kolm K-score.","Preserve boolean source score but do not emit artifact score fields.","open","langfuse-scores-overview-current-2026-05-13; external-score-normalization-matrix-2026-05-13.csv"
"LFI-015","2026-05-13","Categorical Scores","categorical score row","Langfuse scores support categorical values and configs with categories.","kolm-score-1 categorical evidence plus required category mapping.","Missing score-map must create a loss row and block eval-selection use.","Labels like good bad toxic or helpful are source-specific and not portable without mapping.","Add category-map fixture with both mapped and unmapped labels.","open","langfuse-scores-overview-current-2026-05-13"
"LFI-016","2026-05-13","Text Scores","text score row","Langfuse supports text score values and comments for qualitative feedback.","kolm-score-1 qualitative evidence only.","Text score requested for eval selection must create a loss row unless a later rubric parser exists.","Free text can leak sensitive content and cannot directly compute K-score.","Store text scores only under selected privacy mode and exclude from eval selection.","open","langfuse-scores-overview-current-2026-05-13; trace-import-privacy-policy-2026-05-13.md"
"LFI-017","2026-05-13","Score Attachment","score target ids","Langfuse scores can attach to traces observations sessions or dataset runs.","attached_to block with trace_id observation_id session_id dataset_run_id as applicable.","Every score row must resolve exactly one supported attachment set or report ambiguity.","Detached scores are hard to purge and can corrupt eval attribution.","Add one score for each attachment target in scores.json.","open","langfuse-scores-overview-current-2026-05-13; langfuse-scores-sdk-current-2026-05-13"
"LFI-018","2026-05-13","Dataset Item Evalcase","dataset item with expected output","Langfuse datasets are collections of inputs and optional expected outputs.","kolm-evalcase-1 candidate from dataset item input expected output and metadata.","Dataset item becomes an eval case only when expected output exists and status allows it.","Missing expected output can produce hollow evals that always fail or always pass.","Add accepted and missing-expected dataset items.","open","langfuse-datasets-current-2026-05-13"
"LFI-019","2026-05-13","Dataset Source Links","source trace and observation references","Langfuse datasets can link items back to source traces and observations.","Manifest or sidecar source refs not embedded artifact eval fields.","Expected evalcases must omit source trace and observation IDs while manifest keeps them.","Portable artifacts can leak production trace identifiers.","Add negative assertion for source IDs inside expected.evalcases.jsonl.","open","langfuse-datasets-current-2026-05-13; trace-eval-schema-spec-2026-05-13.md"
"LFI-020","2026-05-13","Dataset Versioning","dataset timestamp window","Langfuse documents dataset versioning by timestamp.","Manifest source_window and dataset_version_timestamp fields.","Fixture must prove identical timestamp selection produces identical normalized rows.","Changing datasets can make eval packs non-reproducible.","Record dataset version timestamp in expected.manifest.json.","open","langfuse-datasets-current-2026-05-13"
"LFI-021","2026-05-13","Schema Enforcement","dataset schema validation","Langfuse datasets support schema enforcement for dataset items.","kolm-evalcase-1 validation loss when fixture payload violates expected shape.","Invalid dataset item should create a loss row without raw sample values in redacted mode.","Schema-invalid rows can create brittle compile tests or leak values in errors.","Add valid and invalid schema item fixtures.","open","langfuse-datasets-current-2026-05-13"
"LFI-022","2026-05-13","Archived Items","archived or deleted dataset item","Langfuse dataset workflows include item status and managed datasets.","Eval selection status gate plus loss-report skip reason.","Archived or deleted item must not become a holdout eval by default.","Stale dataset rows can reintroduce cases the source system retired.","Add archived item skip assertion in expected.loss-report.json.","open","langfuse-datasets-current-2026-05-13"
"LFI-023","2026-05-13","Retention Deletion","retention.json","Langfuse documents retention and deletion behavior for traces and related rows.","kolm-import-manifest-1 privacy retention and source deletion refs.","Manifest must capture retention_days purge_after and source deletion reference fields.","Imported data lifecycle can diverge from source-system lifecycle.","Add retention fixture and purge target refs before implementation.","open","langfuse-retention-current-2026-05-13; langfuse-deletion-current-2026-05-13; trace-import-manifest-purge-contract-2026-05-13.md"
"LFI-024","2026-05-13","Privacy Modes","hash-only redacted raw blocked","Prior importer policy defines privacy modes that should apply uniformly across sources.","Mode-specific output snapshots for normalized rows manifest and loss report.","Same fixture must produce deterministic differences across privacy modes.","Importer privacy bugs are often invisible in happy-path normalized rows.","Add redacted and hash-only expected outputs before raw support.","open","trace-import-privacy-policy-2026-05-13.md; trace-import-privacy-matrix-2026-05-13.csv"
"LFI-025","2026-05-13","Manifest Counts","expected.manifest.json","The manifest contract requires source checksum row refs counts privacy block loss refs artifacts and purge state.","kolm-import-manifest-1 generated for every fixture import.","Manifest counts must equal source rows normalized rows evalcases score rows blocked rows and loss rows.","Without count checks partial imports can pass silently.","Add manifest count parity validation to fixture test plan.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"LFI-026","2026-05-13","Loss Report","expected.loss-report.json","Prior loss-report policy requires field paths counts and no raw samples by default.","No-sample loss rows tied to source path reason privacy mode and manifest id.","Fixture must fail if loss rows include raw source payload snippets in redacted or hash-only mode.","Loss reports can become shadow stores of sensitive IO.","Add parse failure score-map missing and archived-item loss cases.","open","trace-import-privacy-policy-2026-05-13.md; trace-import-manifest-purge-matrix-2026-05-13.csv"
"LFI-027","2026-05-13","Artifact Boundary","expected.evalcases.jsonl","Trace schema policy keeps source IDs privacy metadata and raw refs out of portable artifact evals.","kolm-evalcase-1 allowlist for artifact-bound eval fields.","Expected evalcase output must contain input expected output metadata allowlist and no source trace IDs.","A compiled artifact can outlive purge control and expose source identifiers.","Add artifact-boundary negative tests to fixture pack.","open","trace-eval-schema-spec-2026-05-13.md; trace-import-manifest-purge-contract-2026-05-13.md"
"LFI-028","2026-05-13","Dry-Run Purge","manifest dry-run over fixture","Manifest purge contract requires dry-run before delete or anonymize modes.","Dry-run output enumerating rows scores raw sidecars loss reports caches writebacks and non-purgeable artifacts.","Fixture import must support purge dry-run with zero live side effects.","Operators need exact impact before destructive lifecycle actions.","Add fixture manifest dry-run expected output after normalized fixture locks.","open","trace-import-manifest-purge-contract-2026-05-13.md; trace-import-manifest-purge-matrix-2026-05-13.csv"
"LFI-029","2026-05-13","K-Score Guard","normalized output has no k_score","Kolm K-score should be recomputed from artifact evals and receipts not copied from external scores.","Importer emits source scores only as kolm-score-1 evidence.","Fixture must fail if any imported Langfuse score writes k_score eval_score or artifact score fields.","External score reuse would corrupt the meaning of Kolm conformance.","Add no-K-score assertion to expected.normalized.jsonl validation.","open","external-score-normalization-audit-2026-05-13.md; src-artifact-score-current"
"LFI-030","2026-05-13","Implementation Order","Langfuse fixture before live connector","Langfuse combines traces observations scores datasets retention and API access in one source.","First importer implementation sequence starts with offline fixture pack and schemas.","Backlog should block live API support until fixture pack validates structural preservation privacy and manifests.","API-first work can mask schema and privacy defects behind real credentials.","Prioritize Langfuse fixture pack before Helicone LangSmith Braintrust or write-back work.","open","langfuse-importer-fixture-spec-2026-05-13.md; competitor-trace-import-wedge-audit-2026-05-13.md"
