"id","date","area","source_score_shape","kolm_mapping","normalization_rule","risk","recommended_action","status","sources"
"ESN-012","2026-05-13","LangSmith run feedback stats","Run data includes feedback_stats aggregations.","Map aggregates to importer manifest, not row-level scores unless source feedback rows are available.","Aggregates cannot reconstruct individual eval cases.","Aggregate averages could create fake row labels.","Keep feedback_stats as summary metadata only.","open","langsmith-run-data-format-2026-05-13"
"ESN-013","2026-05-13","Braintrust scores map","BTQL examples query input, output, and scores from project logs.","Map every score key/value pair to a normalized score while keeping raw scores map.","Score-map supplies scale, direction, and threshold.","Braintrust score keys can vary by project.","Require per-project Braintrust score-map.","open","braintrust-api-2026-05-13"
"ESN-014","2026-05-13","Braintrust experiments","Experiment insert examples include scores with output rows.","Map experiment scores to source experiment refs and eval evidence.","Experiment scores can select holdout evals if scale is known.","Experiment proof becomes disconnected from imported traces.","Preserve experiment ID and score key names.","open","braintrust-api-2026-05-13"
"ESN-015","2026-05-13","Braintrust export","BTQL can export logs, experiments, or datasets to JSON or Parquet.","Map exported score fields with row checksums and source checksums.","Large exports need loss reports for unnormalized scores.","Batch imports can silently drop score columns.","Emit a per-score loss report for BTQL imports.","open","braintrust-api-2026-05-13"
"ESN-016","2026-05-13","Phoenix score object","Phoenix Score includes name, kind, direction, optional score, optional label, explanation, and metadata.","Map direction directly and preserve kind/explanation/metadata.","Direction is required for numeric normalization.","Kolm could invert lower-is-better signals.","Use Phoenix as the model for required score direction.","open","phoenix-evals-sdk-2026-05-13"
"ESN-017","2026-05-13","Phoenix evaluator kind","Phoenix distinguishes signal origin such as llm, code, or human.","Map kind to scorer.kind.","Origin affects trust and audit policy.","An LLM judge and deterministic exact match would be weighted equally.","Preserve kind and allow project policy by kind.","open","phoenix-evals-sdk-2026-05-13"
"ESN-018","2026-05-13","Phoenix labels","Phoenix scores may include categorical labels with explanations.","Map label to label and explanation to comment; map to passed only by score-map.","Labels are not automatically binary.","Categorical labels can be over-normalized.","Require explicit label map for pass/fail.","open","phoenix-evals-sdk-2026-05-13"
"ESN-019","2026-05-13","Weave row scores","Weave eval export returns per-row trials with model output and scores.","Map per-trial scores to scores[] and keep prediction IDs.","Row scores can inform eval selection when scorer meaning is mapped.","Trials can be confused with final expected outputs.","Separate trial output from expected output.","open","weave-eval-export-2026-05-13"
"ESN-020","2026-05-13","Weave raw data rows","Weave can return resolved dataset inputs with eval result rows.","Map raw_data_row to input/expected candidates and row_digest to proof/source ID.","Dataset inputs are needed to reproduce evals.","Scores without resolved inputs cannot become eval cases.","Require resolved rows for eval-case generation.","open","weave-eval-export-2026-05-13"
"ESN-021","2026-05-13","Weave summaries","Weave can return pass rates for binary scorers and numeric means for continuous scorers.","Map summaries to importer manifest only.","Aggregates cannot create per-row pass/fail labels.","Summary pass rates could pollute K-score accuracy.","Do not derive eval cases from aggregate summaries.","open","weave-eval-export-2026-05-13"
"ESN-022","2026-05-13","Weave row digest","Weave row_digest is content-addressable for dataset inputs.","Map to proof.source_checksum or source.source_row_id.","Digest supports dedupe and reproducibility.","Duplicate rows can inflate eval coverage.","Use row_digest for dedupe before selection.","open","weave-eval-export-2026-05-13"
"ESN-023","2026-05-13","Helicone curated rows","Helicone datasets curate high-quality request/response examples but are not primarily a scoring system.","Map curation to routing.split or selection metadata, not scores unless score metadata exists.","Curation alone is not a quality score.","Curated datasets can be over-trusted.","Mark curated rows as selected_by_source, not passed.","open","helicone-datasets-2026-05-13"
"ESN-024","2026-05-13","OpenPipe split","OpenPipe JSONL includes split for train/test rows.","Map split to routing.split and eval-case split.","Split is routing metadata, not score.","Train rows could leak into holdout K-score.","Honor split and keep test/holdout separate.","open","openpipe-export-2026-05-13"
"ESN-025","2026-05-13","Thresholds","External score thresholds vary by project and source.","Store threshold per normalized score from score-map or source config.","No default threshold for arbitrary numeric scores.","A 0.5 threshold may be wrong for relevance, safety, or toxicity.","Require threshold when score controls eval selection.","open","external-score-normalization-audit-2026-05-13.md"
"ESN-026","2026-05-13","Direction","Some metrics are higher-is-better; others are lower-is-better or target-range.","Store direction as required for numeric normalization.","Unknown direction disables eval selection.","Lower toxicity could be treated as failure if direction is guessed.","Fail closed on missing direction.","open","external-score-normalization-audit-2026-05-13.md"
"ESN-027","2026-05-13","Conflicting scores","A row can have multiple scorers with different judgments.","Keep all scores and compute selection policy separately.","Conflict policy should be explicit: any_fail, majority, trusted_scorer, or manual.","The importer may hide disagreement.","Emit conflicts in loss reports and importer manifest.","open","external-score-normalization-audit-2026-05-13.md"
"ESN-028","2026-05-13","Weights","Some scores should affect eval weight, not pass/fail.","Map weight only through score-map, never from raw score by default.","Weights are project policy, not source truth.","High-confidence but narrow rows can overdominate coverage.","Add explicit eval_use and weight fields to score-map.","open","external-score-normalization-audit-2026-05-13.md"
"ESN-029","2026-05-13","Write-back","Source scores should receive Kolm artifact outcome metadata after compile.","Map write-back to artifact ID, K-score, receipt ID, avoided-call proof, and fallback count.","Write-back should not overwrite source scores.","Kolm results disappear from source workflows.","Add write-back as separate metadata, not score mutation.","open","competitor-trace-import-wedge-audit-2026-05-13.md"
"ESN-030","2026-05-13","Tests","No score-normalization fixtures or loss-report tests exist today.","Add fixtures for numeric, boolean, categorical, text, aggregate, missing direction, and conflict cases.","Tests enforce no direct score-to-K-score path.","Importer score claims will be unverifiable.","Add normalization fixtures before live importer APIs.","open","tests; trace-eval-schema-spec-2026-05-13.md"
