"id","date","area","checksum_target","canonical_payload","included_fields","excluded_fields","validation_rule","risk","status","sources"
"ICC-019","2026-05-13","Manifest","mutable state","kolm.import.manifest.state envelope.","manifest id prior content checksum purge state target results operation timestamp actor hash partial failures.","source row payloads normalized row payloads.","Harness state checksum changes after purge state changes.","Purge evidence needs its own auditable state hash.","open","trace-import-manifest-purge-contract-2026-05-13.md"
"ICC-020","2026-05-13","Privacy Mode","redacted vs hash-only","Mode-specific normalized payloads.","privacy mode redaction markers checksums counts allowed fields.","Raw IO in hash-only mode.","Harness verifies different payload modes produce different row checksums.","Mode collapse can hide privacy regressions.","open","trace-import-privacy-matrix-2026-05-13.csv"
"ICC-021","2026-05-13","Raw Sidecar","raw mode bytes","sha256:bytes over exact sidecar bytes.","sidecar path byte checksum retention purge target.","Embedded raw content in manifest or loss row.","Harness requires sidecar refs and purge target entries in raw mode.","Raw sidecars need lifecycle controls separate from JSON rows.","open","trace-import-manifest-purge-matrix-2026-05-13.csv"
"ICC-022","2026-05-13","Timestamps","normalized timestamps","UTC ISO 8601 strings in normalized payload.","normalized start end created updated purge_after fields.","Source timestamp rewriting in source row checksum.","Harness source checksum changes only with source payload while normalized checksum uses canonical UTC string.","Timestamp normalization must not obscure source provenance.","open","import-canonical-checksum-rules-2026-05-13.md"
"ICC-023","2026-05-13","Numbers","cost and latency","Parsed source numbers and normalized integer microseconds.","source cost latency totalCost timeToFirstToken values and normalized microseconds.","Rounded source costs non-finite values.","Harness rejects NaN Infinity and unexpected rounding.","Cost and latency proof can drift with numeric formatting.","open","langfuse-observations-api-blueprint-2026-05-13"
"ICC-024","2026-05-13","Arrays","message arrays and tags","Source array order preserved.","messages tags score categories as supplied unless schema says otherwise.","Implicit sorting de-duping or case folding.","Harness mutates order and expects checksum change.","Array order can be semantically meaningful for chat traces.","open","rfc8785-json-canonicalization-2026-05-13; trace-eval-schema-spec-2026-05-13.md"
"ICC-025","2026-05-13","Strings","source strings","Exact parsed Unicode string in JCS payload.","content comments IDs labels with original whitespace and case.","Unicode normalization trim case-fold before source checksum.","Harness verifies string mutations change checksums.","String transforms can hide identity or content changes.","open","rfc8785-json-canonicalization-2026-05-13"
"ICC-026","2026-05-13","Schema Version","checksum rule id","import-checksum-2026-05-13 in every envelope.","rule id algorithm domain and source system.","Implicit current default.","Harness rejects envelopes without checksum_rule.","Algorithm migration needs explicit versioning.","open","import-canonical-checksum-rules-2026-05-13.md"
"ICC-027","2026-05-13","Fixture Pack","symbolic checksums","Blueprint symbolic checksums are placeholders only.","Final fixture files must include real checksums.","Shipping sha256:<fixture-canonical-json> placeholders.","Harness rejects placeholder patterns.","Cosmetic checksums undermine manifest proof.","open","langfuse-fixture-pack-blueprint-2026-05-13.md"
"ICC-028","2026-05-13","Source Window","pagination window","Manifest source window and page checksums.","fromStartTime toStartTime cursor page refs dataset version timestamp.","Only final normalized output.","Harness verifies page count and dataset version match manifest.","Incomplete source windows can look like valid imports.","open","langfuse-observations-api-blueprint-2026-05-13; langfuse-datasets-blueprint-2026-05-13"
"ICC-029","2026-05-13","Signature Boundary","future receipts","Checksums signed after canonical payload is complete.","content checksum state checksum signer key id receipt mode.","Signature field inside signed payload.","Harness excludes signature fields from signed checksum payload.","Self-including signatures are invalid and non-repeatable.","open","receipt-verification-truth-2026-05-12.md; import-canonical-checksum-rules-2026-05-13.md"
"ICC-030","2026-05-13","Implementation Gate","test harness","RFC vectors domain envelopes file bytes row modes and manifest states.","All checksum categories used by Langfuse support-v1.","Product importer code before checksum tests.","CI blocks executable fixtures until checksum harness passes.","Fixture checksums need proof before live connectors depend on them.","open","langfuse-fixture-file-matrix-2026-05-13.csv; research-backlog-2026-05-12.md"
