"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"AMG-011","2026-05-12","Bearer exchange","MCP clients exchange a short-lived bearer token from the artifact manifest.","`public/serve.html` describes a short-lived bearer token exchange; `services/mcp/server.js` has no auth or token exchange for local HTTP.","Local HTTP is unauthenticated localhost JSON-RPC.","Network-agent claims and security posture are overstated.","Label HTTP localhost-only and design token auth before network exposure.","open","public/serve.html; services/mcp/server.js"
"AMG-012","2026-05-12","Default port","Serve binds `127.0.0.1:7327` by default.","The serve page shows `127.0.0.1:7327`; code default is `8765` for HTTP, while stdio has no port.","Default port docs drift from implementation.","Users and docs tests can chase the wrong endpoint.","Pick one port and generate docs from CLI constants.","open","public/serve.html; services/mcp/server.js; cli/kolm.js"
"AMG-013","2026-05-12","Positional artifact serve","`kolm serve --mcp support-triage.kolm` serves that specific artifact.","`public/serve.html` and client snippets include an artifact arg; `cmdServe` ignores positional args and always passes the artifact directory/project cwd.","Single-artifact serve is not implemented.","Agents may expose all local artifacts when docs imply one artifact.","Implement explicit artifact allowlist or remove positional examples.","open","public/serve.html; cli/kolm.js; services/mcp/server.js"
"AMG-014","2026-05-12","Runtime egress","MCP runtime patches network egress before recipes run.","Agentic-coding copy says the harness patches `fetch`, `http`, `https`, `net`, `tls`, and `dns`; `services/mcp/server.js` calls `runArtifact` directly, while egress patching lives in `benchmarkArtifact`.","MCP calls rely on source scanning and vm sandboxing, not benchmark egress patching.","Zero-runtime-egress claims can be overstated for MCP calls.","Move egress guard into `runArtifact` or narrow copy to benchmark evidence.","open","public/use-cases/agentic-coding.html; services/mcp/server.js; src/artifact-runner.js; src/benchmark.js; src/verifier.js"
"AMG-015","2026-05-12","Per-call signed receipt","Every MCP answer carries a verified HMAC receipt chain.","`tools/call` returns `r.receipt`; `runArtifact` creates an unsigned `rs-1-run` metadata object, not an HMAC chain over the call.","Artifact signatures verify on load, but per-call local receipts are not signed.","Audit and procurement claims can overstate proof quality.","Implement signed local run receipts or relabel as run metadata.","open","services/mcp/server.js; src/artifact-runner.js; public/serve.html"
"AMG-016","2026-05-12","MCP run logs","`kolm logs` includes MCP `tools/call` rows.","CLI help says MCP calls append to `~/.kolm/logs/runs.jsonl`; source search shows append calls in CLI run/bench only, not MCP server.","MCP calls are not appended to the local run log.","Operators can miss agent activity despite docs saying it is logged.","Add `appendRunLog` support to MCP or narrow `kolm logs` wording.","open","cli/kolm.js; services/mcp/server.js"
"AMG-017","2026-05-12","K-score gate scale","MCP advertises and gates K-score on a 0..1 scale.","Public docs use gates like `>=0.85`; fixture MCP smoke returned K-score composites like `424.57`; `k_min` compares raw values directly.","Serve-time K-score governance is scale-drifted.","Low-quality artifacts can pass floors if scores are not normalized consistently.","Normalize K-score schema and rebuild fixtures before relying on `k_min`.","open","services/mcp/server.js; test/fixtures/sample.kolm; cli/kolm.js; public/use-cases/agentic-coding.html"
"AMG-018","2026-05-12","Claude config path","Docs agree on the Claude/Claude Code config target.","Live integrations mention `~/.claude/mcp.json`; docs mention `~/.claude/mcp.json`; agentic-coding mentions `~/.config/claude/mcp.json`; CLI writes `~/.claude/settings.json` for `claude-code`.","Config paths are inconsistent across public copy and installer.","Users can edit the wrong file and think MCP is broken.","Choose canonical Claude Desktop vs Claude Code targets and split docs accordingly.","open","public/integrations.html; public/docs.html; public/use-cases/agentic-coding.html; cli/kolm.js"
"AMG-019","2026-05-12","Doctor verifies wiring","`kolm doctor` verifies harness config and ports.","Quickstart says doctor verifies wiring; `cmdDoctor` checks config, API key, cloud reachability, secret, Node, docker, Anthropic key, project config, and artifact counts only.","Doctor does not inspect MCP harness config or port listeners.","Broken agent config can pass doctor.","Add harness config validation and MCP smoke checks to doctor.","open","public/quickstart.html; cli/kolm.js"
"AMG-020","2026-05-12","Cline integration","`kolm install cline --apply` wires MCP like other harnesses.","Code writes `.clinerules/kolm.md` with instructions; it does not create an MCP config entry.","Cline integration is an instructional rule, not MCP wiring.","The install command can be misread as fully wired agent integration.","Label Cline as rule-only or implement client-specific MCP config.","open","cli/kolm.js; public/docs.html"
"AMG-021","2026-05-12","Continue integration","`kolm install continue` safely merges Continue config.","Code appends an `mcpServers` YAML block unless `name: kolm` exists anywhere; it does not parse YAML or preserve schema semantics.","Continue config merging is string-based.","Existing configs can become malformed or duplicate blocks.","Use a YAML parser or write a clearly scoped project-local snippet.","open","cli/kolm.js"
"AMG-022","2026-05-12","Allowed tools","`allowed-tools` governs what sub-agents may call.","`kolm.yaml` parses `allowed_tools` and MCP metadata carries `allowed_tools`; `tools/call` does not enforce nested tool permissions.","Allowed-tool metadata is advisory only.","Security reviewers may assume a real capability boundary.","Mark as metadata or enforce at runtime when sub-agent calls exist.","open","src/project.js; services/mcp/server.js; cli/kolm.js"
"AMG-023","2026-05-12","Skill sidecar names","Generated sidecars tell agents the correct MCP tool name.","No-project sidecars emit `mcp__kolm__<artifact>`, while global MCP tools are named plain `<artifact>`; project tools use `mcp__<project>__<artifact>`.","Tool naming can drift outside project mode.","Agents can call a non-existent tool from the generated sidecar.","Align global tool names or sidecar fallback names and add a fixture test.","open","cli/kolm.js; services/mcp/server.js"
"AMG-024","2026-05-12","CLI template verbs","Claude/Cursor templates use existing root CLI commands.","Live templates mention `kolm query` and `kolm verify`; root CLI dispatch has no top-level `query` or `verify`.","Templates can instruct agents to run failing commands.","Agent onboarding can fail immediately.","Update templates to `kolm rag query`, `kolm inspect`, `kolm eval`, or add compatibility aliases.","open","public/docs/claude-skill.md; public/docs/cursor-rules.txt; cli/kolm.js"
"AMG-025","2026-05-12","Template K-score gate","Public agent templates share the current K-score policy.","Claude/Cursor templates say `>=0.70` ships; docs and project schema use `0.85`; fixture manifests show unbounded composites.","Agent guidance conflicts with current gate language and score data.","Agents can recommend shipping below the public gate.","Regenerate templates from one K-score policy source.","open","public/docs/claude-skill.md; public/docs/cursor-rules.txt; docs/kolm-yaml-v0.1.json; public/docs.html"
"AMG-026","2026-05-12","Legacy MCP package","`sdk/mcp` matches the current artifact MCP story.","`sdk/mcp/server.mjs` exposes `recipe_*` cloud tools through the legacy scoped cloud SDK and `RECIPE_API_KEY`; live docs emphasize `kolm serve --mcp` artifact tools.","There are two different MCP products with different brands, auth, and data paths.","Developers can install the wrong MCP server for artifact-local workflows.","Separate legacy cloud MCP from artifact MCP or retire/update `sdk/mcp`.","open","sdk/mcp/server.mjs; sdk/mcp/package.json; public/integrations.html"
"AMG-027","2026-05-12","GitHub Actions integration","The shipped compile action tracks the CLI contract.","Action runs `kolm compile ... --json`, parses `.artifact_path`, `.k_score`, `.id`, and calls `kolm verify`; root CLI has no top-level `verify` and cloud compile prints progress text around outputs.","The action contract is likely broken without a compatibility shim.","A shipped CI integration can fail for users on first run.","Add an action smoke test or update action to current CLI outputs and commands.","open",".github/actions/kolm-compile/action.yml; cli/kolm.js"
"AMG-028","2026-05-12","VS Code integration","The VS Code extension is preview and source-backed.","Live integrations label VS Code preview and point to `sdk/vscode`; repository contains `sdk/vscode` files.","Preview status matches the repo presence.","Preview remains honest only if it is not labeled shipped before packaging and tests exist.","Keep preview label until packaged and tested.","solid","public/integrations.html; sdk/vscode"
"AMG-029","2026-05-12","MCP tests","MCP and install behavior are launch-blocking tested.","Existing tests do not cover MCP server methods, install snippets, project `k_min`, sidecar tool names, or MCP logging.","No launch-blocking MCP or harness-install tests were found.","Agent integration regressions can ship silently.","Add MCP stdio/HTTP, install, sidecar, doctor, and log tests.","open","tests/*.test.js; services/mcp/server.js; cli/kolm.js"
"AMG-030","2026-05-12","Docs generation","Public MCP docs are generated from implementation constants.","Serve/docs/integration pages disagree on ports, Claude config paths, transports, commands, receipt shape, and discovery behavior.","MCP docs are manual and drift-prone.","Users get inconsistent setup instructions.","Generate MCP docs from CLI constants and fixture smoke outputs.","open","public/serve.html; public/docs.html; public/integrations.html; public/use-cases/agentic-coding.html; cli/kolm.js; services/mcp/server.js"
