"id","date","surface","evidence","enforcement_status","risk","recommended_action","source"
"BPM-011","2026-05-12","Compile billing","Local route smoke completed `/v1/compile?sync=1` with `usedAfter:0`; the compile route has no `chargeUsage` call.","not_charged","P1 revenue/model gap: the pricing strategy says the paid unit is compile/artifact governance, but the current core compile endpoint is free after auth.","Charge compile jobs on accepted/completed artifacts or introduce compile-credit accounting separate from runtime quota.","src/router.js:837; local smoke; pricing-and-packaging-implications-2026-05-12.md"
"BPM-012","2026-05-12","Billable route list","`chargeUsage` is called in synthesize, synthesize/stream, synthesize/batch, publish, run, compose, label-corpus, label-corpus/stream, and specialist run.","partial","Usage accounting covers several compute paths but not compile, verify, recall, embed, capture, public run, or specialist training.","Create a route-to-billing matrix and intentionally mark each route as billable, free, admin, or public capped.","src/router.js"
"BPM-013","2026-05-12","Verify endpoint","`POST /v1/verify` compiles and runs user-supplied source under `publishLimiter` but does not charge usage.","not_charged","Verifier CPU/sandbox work can be consumed without quota accounting.","Charge verifier work or make it explicitly free but tightly rate-limited and trust-scoped.","src/router.js:1526"
"BPM-014","2026-05-12","Recall/embed/capture billing","`/v1/recall`, `/v1/embed`, and capture proxy routes do not call `chargeUsage`.","not_charged","Recall ingestion and capture can become high-volume storage/compute costs outside plan limits.","Add storage, ingest, and capture units or explicit preview caps.","src/router.js:988; src/router.js:1006; src/router.js:2295"
"BPM-015","2026-05-12","Quota increment consistency","`chargeUsage` writes `used: (tenant_record.used || 0) + units`, using the request's stale tenant object rather than an atomic increment against current storage.","non_atomic","Concurrent requests can lose increments or overshoot quota; large post-auth charges can pass the preflight quota check then push usage beyond quota.","Implement atomic increments or transactional billing rows and reserve quota before expensive work.","src/auth.js"
"BPM-016","2026-05-12","Feature gates","Plans store quotas and seats, but no code-level gates were found for private artifact count, seats, SSO, SCIM, project scopes, audit log, support, BAA, or enterprise controls.","mostly_ungated","Pricing page features can be sold without implementation or enforcement, creating support and trust risk.","Separate shipped gates from roadmap promises and wire feature flags/entitlements before public paid rollout.","src/router.js; public/pricing.html"
"BPM-017","2026-05-12","Cancel semantics","Code immediately downgrades canceling tenants to free quota; account UI and API docs say quotas drop at period end.","docs_drift","Customers may lose quota immediately despite UI/API copy promising period-end access.","Decide immediate versus period-end cancellation and make route, Stripe, docs, and UI match.","src/router.js:1334; public/account.html; public/api.html"
"BPM-018","2026-05-12","Delete semantics in account UI","Account UI says delete removes all artifacts and tenants permanently; code only soft-deletes the tenant row.","docs_drift","Deletion copy overpromises data removal and conflicts with the data-lifecycle smoke.","Update UI/API copy or implement actual purge workflow.","public/account.html; tenant-data-lifecycle-audit-2026-05-12.md"
"BPM-019","2026-05-12","API docs response drift","`public/api.html` examples show signup/account Pro quota 100000 and seats 3, while code uses Pro quota 200000 and seats 1; docs show Business seats 15, code uses 25.","docs_drift","Developers will integrate against stale response shapes and limits.","Generate API examples from live fixtures or add docs tests for plan catalog values.","public/api.html; src/router.js"
"BPM-020","2026-05-12","Quota status code docs","`public/api.html` advertises HTTP 402 for quota exhaustion; auth middleware returns 429.","docs_drift","SDKs and clients may handle the wrong status code for quota exhaustion.","Pick one canonical status and update code/tests/docs together.","public/api.html; src/auth.js"
"BPM-021","2026-05-12","Payment Link trust","Payment Links are configured by env vars, and the webhook trusts session amount or pending plan, but no Stripe Price/Product id or metadata is checked.","weak_binding","Misconfigured links or alternate links in the same Stripe account can map to the wrong plan.","Include expected Stripe price ids in config and validate session line items or metadata before plan activation.","src/router.js; src/stripe.js"
"BPM-022","2026-05-12","Billing route tests","Existing tests cover Stripe helper functions only; no tests exercise `/v1/signup` paid pending flow, `/v1/account/change-plan`, `/v1/stripe/webhook`, cancel, delete, quota status, or route charging.","test_gap","Billing regressions can ship while helper tests remain green.","Add `billing-routes.test.js` with raw-body webhook, payment success/failure, pending-plan mismatch denial, route charging, and docs-shape snapshots.","tests/stripe.test.js; tests/e2e.test.js"
