"id","date","area","surface_or_claim","official_or_code_evidence","kolm_code_truth","risk_or_opportunity","recommended_action","status","sources"
"CTI-014","2026-05-13","Weave","W&B Weave can export eval results.","Official Weave docs describe Evaluation REST API endpoints for evaluation runs, predictions, resolved dataset inputs, scores, scorer stats, and row digests.","Kolm has no Weave eval importer.","Weave row digests map well to artifact provenance and deduplication.","Add Weave eval import as an eval-gate source.","open","weave-eval-export-2026-05-13"
"CTI-015","2026-05-13","LiteLLM callbacks","LiteLLM can send trace data to Kolm via callbacks.","Official LiteLLM docs expose success/failure/input callbacks and custom logger hooks with model, messages, cost, cache hit, response, and timing fields.","Kolm has no LiteLLM callback package.","LiteLLM sits in production traffic and can feed compile candidates.","Ship a LiteLLM callback that writes `kolm-trace-1` rows or posts to Kolm capture.","open","litellm-callbacks-2026-05-13"
"CTI-016","2026-05-13","LiteLLM proxy hooks","LiteLLM proxy hooks can support response metadata or routing experiments.","LiteLLM docs list proxy-only pre/post hooks that can modify requests or responses.","Kolm has no proxy hook integration.","A route-first proof could attach artifact receipts to responses.","Prototype post-success hook for avoided-call and receipt metadata.","open","litellm-callbacks-2026-05-13"
"CTI-017","2026-05-13","LiteLLM provider","LiteLLM supports custom API server providers.","Official docs include a custom API server provider surface and broad provider list.","Kolm has no OpenAI-compatible artifact runtime endpoint packaged for LiteLLM.","A custom provider is possible only after Kolm exposes a stable runtime API shape.","Define a Kolm OpenAI-compatible provider target after sandbox/trust work.","open","litellm-custom-provider-2026-05-13"
"CTI-018","2026-05-13","Vercel AI SDK","Vercel AI SDK can route through middleware.","Official docs for `wrapLanguageModel` show middleware wrapping a model and returning a new language model instance.","Kolm has no AI SDK middleware package.","Next.js/AI SDK apps can try artifacts before model fallback with minimal app changes.","Build `kolm-ai-sdk-middleware` after artifact runtime API stabilizes.","open","vercel-wrap-language-model-2026-05-13"
"CTI-019","2026-05-13","Cloudflare AI Gateway","Cloudflare AI Gateway can target custom providers.","Official docs describe creating custom providers with base URL, slug, OpenAI-compatible `/compat` routing, provider-specific endpoints, and HTTPS base URL requirements.","Kolm has no Cloudflare custom-provider guide or compatible hosted runtime target.","Cloudflare can become a distribution channel if Kolm exposes a safe endpoint.","Add Cloudflare custom-provider guide after public-run trust tiers are fixed.","open","cloudflare-custom-providers-2026-05-13"
"CTI-020","2026-05-13","Portkey","Portkey can route to private/self-hosted providers.","Official docs describe virtual/provider keys and privately hosted provider support with custom host fields.","Kolm has no Portkey provider guide or route target.","Portkey users could route deterministic traffic to Kolm if endpoint semantics are clear.","Document Kolm as a private provider only after runtime auth and receipts are stable.","open","portkey-virtual-keys-2026-05-13"
"CTI-021","2026-05-13","OpenPipe export","OpenPipe can export request datasets as JSONL.","Official docs describe raw JSONL export with messages, tools, tool choice, and split fields.","Kolm has no OpenPipe import path.","OpenPipe data is highly compatible with Kolm examples and eval splits.","Build OpenPipe JSONL import and compare output to hosted fine-tune path.","open","openpipe-export-2026-05-13"
"CTI-022","2026-05-13","OpenPipe threat","OpenPipe directly owns trace-to-cheaper-model replacement.","Official docs say OpenPipe collects logs, creates fine-tuned models, evaluates them, and hosts OpenAI-format replacements.","Kolm cannot yet match model replacement because recipe/model-adapter artifacts are incomplete.","OpenPipe is the direct wedge competitor for cost and latency from production traces.","Differentiate on signed portable artifacts, receipts, and local/private governance.","open","openpipe-overview-2026-05-13"
"CTI-023","2026-05-13","Predibase backend","Predibase owns the adapter training/deployment path.","Official docs describe uploading datasets, creating adapters, evaluating, and serving LoRA adapters from deployments.","Kolm local tune/promotion path is not equivalent to Predibase's hosted adapter workflow.","Predibase can be a training backend or competitor depending on Kolm artifact tier truth.","Treat Predibase as backend until Kolm model-adapter artifacts are inspectable.","open","predibase-finetune-2026-05-13; predibase-inference-2026-05-13"
"CTI-024","2026-05-13","Predibase positioning","Predibase makes generic LoRA claims risky for Kolm.","Predibase product/docs expose mature fine-tuning, adapter, deployment, and structured output paths.","Kolm public LoRA claims remain ahead of artifact evidence.","Buyers can compare unshipped Kolm adapter claims to shipped Predibase workflows.","Keep LoRA public copy roadmap unless artifacts prove adapter contents and runtime.","open","predibase-finetune-2026-05-13; tune-evolution-governance-audit-2026-05-12.md"
"CTI-025","2026-05-13","Write-back","Kolm writes receipts back to source systems.","No local code found for writing artifact IDs, K-scores, receipts, or avoided-call metrics back into Langfuse, LangSmith, Braintrust, Helicone, Phoenix, Weave, LiteLLM, or Vercel.","Importers without write-back make Kolm invisible in existing workflows.","Imported artifacts need to reappear in the buyer's existing trace system.","Add source write-back metadata after first import proof.","open","local-import-search-2026-05-13"
"CTI-026","2026-05-13","Privacy","Kolm has source-specific import redaction/consent controls.","Local capture stores prompt/response text and importer schema does not yet exist.","Imported traces can include regulated or customer-sensitive data.","Trace import can pull regulated data into Kolm by default.","Require redaction mode, consent flags, retention, and hash-only options in `kolm-trace-1`.","open","src-capture-import-current; compliance-security-posture-audit-2026-05-12.md"
"CTI-027","2026-05-13","Prioritization","All competitor importers have equal priority.","Official docs show different friction: Langfuse and Helicone have easy APIs/exports; LangSmith bulk export is plan-gated; Braintrust/Weave are eval-rich; Cloudflare/Portkey require stable hosted targets.","Kolm has no prioritization artifact yet.","Building all connectors at once will dilute proof.","Prioritize Langfuse, Helicone, LiteLLM callback, LangSmith, Braintrust, then Vercel middleware.","open","competitor-trace-import-wedge-audit-2026-05-13.md"
"CTI-028","2026-05-13","Fixtures","Importer fixtures exist for top competitor sources.","No fixture files or tests were found for external trace exports.","Importer claims would be untestable.","Fixtures are needed before public importer claims are credible.","Add small golden fixtures for Langfuse, Helicone, LangSmith, Braintrust, and OpenPipe.","open","local-import-search-2026-05-13; tests"
"CTI-029","2026-05-13","Avoided-call proof","Kolm can prove avoided calls from imported traces.","Local benchmark receipts do not join back to imported trace sources or original costs.","Savings claims lack trace-to-artifact accounting.","Imported traces need original cost context to prove replacement value.","Add avoided-call report fields: source call count, model, cost, artifact latency, fallback count, and receipt IDs.","open","benchmark-reproducibility-audit-2026-05-12.md; competitor-trace-import-wedge-audit-2026-05-13.md"
"CTI-030","2026-05-13","Strategy","Kolm should compete by rebuilding trace/eval/gateway products.","Competitor docs show those products already own trace collection, datasets, evals, gateway controls, and hosted fine-tuning.","Kolm has stronger differentiation as artifact/receipt/governance layer above them.","A generic dashboard or gateway roadmap would waste scarce engineering focus.","Build importers, route middleware, receipts, and artifact proof instead.","open","competitor-landscape-2026-05-12.md; competitor-trace-import-wedge-audit-2026-05-13.md"
