"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"CDG-011","2026-05-12","Savings estimate","Suggestion savings are trustworthy.","`/v1/bridges/suggestions` computes `est_savings_per_month_usd`.","The formula multiplies total cost by 30 twice, effectively scaling monthly estimates by about 900x for observed cost.","Savings copy can be materially overstated.","Replace with a transparent daily/monthly model and add unit tests.","open","src/router.js"
"CDG-012","2026-05-12","Auto-synthesize persistence","Auto-synthesize turns an observation cluster into a stored concept.","`POST /v1/bridges/auto-synthesize` calls `synthesize` and returns its result.","`synthesize` returns source/evaluation but no concept_id; the route does not call `createConcept` or `publishVersion`.","Accepted synthesis can appear successful without creating a reusable registry entry.","Persist a private concept/version or label the result as a draft-only source preview.","open","src/router.js; src/synthesis.js"
"CDG-013","2026-05-12","Lineage","Promoted observation lineage points to a real concept.","The route updates `promoted_recipe_id: synthResult.concept_id` when accepted.","`synthResult.concept_id` is not produced by `synthesize`; lineage can be undefined.","Lineage and capture inbox promotion tracking can silently fail.","Use the actual created concept id after persistence.","open","src/router.js; src/synthesis.js"
"CDG-014","2026-05-12","Capture promote UI","Promote links load the observation into a creation flow.","The inbox links to `/playground?from=observation&id=<id>`.","No handler for `from=observation` was found in `public/playground.html` or router search.","The promote action can become a dead link or no-op.","Implement observation loading in the playground or route to a supported draft endpoint.","open","public/captures.html; public/playground.html"
"CDG-015","2026-05-12","Auto-distill availability","Auto-distill is a shipped training path.","`/v1/specialists/auto-distill` checks for at least 1,000 observations.","Without `KOLM_TRAINER_BRIDGE_URL`, it returns 503 `distill_bridge_not_configured`.","The feature is a preview unless the external bridge is configured and operated.","Keep preview labeling and expose bridge readiness in `/ready` or account status.","open","src/router.js; public/api.html"
"CDG-016","2026-05-12","Distill completion","Auto-distill produces local app state and artifacts.","The route posts to an external `/distill` endpoint with a callback URL.","No `/v1/specialists/auto-distill/callback` route or local job/artifact creation was found.","A successful bridge job may not become a downloadable artifact inside Kolm.","Add callback/status routes and store specialist/artifact state.","open","src/router.js"
"CDG-017","2026-05-12","Signed artifact claim","Auto-distill returns a signed `.kolm` artifact.","API docs say the result is signed and downloadable through compile artifact routes.","The auto-distill route returns bridge job metadata only and does not create a compile job id.","The documented download path is not wired to the route.","Integrate bridge output with compile jobs or change docs to external job handoff.","open","public/api.html; src/router.js"
"CDG-018","2026-05-12","Specialist training","Specialist training transitions from queued to completed.","`POST /v1/specialists/train` inserts a queued specialist row.","No local training worker or status transition was found in this route group.","Specialists can remain queued indefinitely.","Add trainer worker integration or mark train as queue-only preview.","open","src/router.js"
"CDG-019","2026-05-12","Specialist run","Running a Specialist uses the trained adapter.","`POST /v1/specialists/:id/run` returns a model string with `+lora`.","The route calls `runtime.runConcept` on the source concept and returns `source: recipe-fallback`.","Users can believe they are testing trained weights when they are running the source concept.","Make fallback explicit in product docs and tests until weights are live.","open","src/router.js"
"CDG-020","2026-05-12","Weights export","Queued Specialists can export weights when ready.","`GET /v1/specialists/:id/weights` only returns weights for `status: completed`.","No path was found that populates `weights_url`, `weights_sha256`, or status completed.","Weights export is currently unreachable in normal app flow.","Wire bridge completion to specialist fields or keep weights export documented as unavailable.","open","src/router.js"
"CDG-021","2026-05-12","Local tune isolation","Local tune captures never leave the box.","`src/tune.js` appends captures under `~/.kolm/tune/<artifact>/captures.jsonl`.","This is separate from hosted provider capture, which intentionally proxies through the service.","Public pages can conflate local-only tuning with hosted capture.","Label local tune and hosted capture as separate data paths.","open","src/tune.js; public/evolve.html; public/captures.html"
"CDG-022","2026-05-12","Tune eval","Tune eval measures adapter improvement.","Docs note current eval runs deterministic artifact behavior as-is.","`evalRevision` calls `runArtifact` without applying candidate adapter effects.","Promotion can be based on unchanged behavior.","Block improvement claims until adapter-aware eval exists.","open","src/tune.js; docs/TUNE.md"
"CDG-023","2026-05-12","Tune improvement gate","Promote compares candidate to current head.","`promoteRevision` has `require_improvement` in config.","The code sets `headK = candidate.k_score`, so it does not compare against the previous head.","A non-improving candidate can pass the improvement concept as long as it meets the gate.","Compute and compare previous head score before promotion.","open","src/tune.js"
"CDG-024","2026-05-12","Threshold semantics","Capture thresholds are consistent.","Cloud auto-synthesize uses 4 observations; local tune watch defaults to 200 rows; auto-distill uses 1,000 pairs.","Public pages and CLI mix these thresholds without a single policy table.","Users cannot tell which loop is ready or why.","Publish one threshold matrix by loop and route.","open","src/router.js; src/tune.js; cli/kolm.js; public/captures.html"
"CDG-025","2026-05-12","Namespace sanitizer","Namespace docs match sanitizer behavior.","`sanitizeNamespace` comment says dots are allowed.","The implementation removes all dot runs with `replace(/\.+/g, '')`.","Names can change unexpectedly between UI, CLI, and API docs.","Either allow safe dots or update docs and examples.","open","src/capture.js"
"CDG-026","2026-05-12","Label corpus SDK","SDK label helpers match current capture export semantics.","Node SDK exposes `labelCorpus(recipe_id, opts)` for labeling rows through a concept.","It does not wrap `/v1/labels/synthesize-corpus` capture export.","SDK users have two unrelated label concepts with similar names.","Add explicit capture corpus helpers and naming guidance.","open","sdk/node/index.mjs; src/router.js"
"CDG-027","2026-05-12","MCP specialist tools","MCP specialist tools reflect runtime truth.","MCP tool descriptions say specialist training fine-tunes a LoRA and run falls back until live.","The tool names still use legacy labels and the training path is queued/fallback.","Agents can overpromise specialist output if they rely on tool descriptions.","Update MCP descriptions with current preview/fallback semantics and tests.","open","sdk/mcp/server.mjs; src/router.js"
"CDG-028","2026-05-12","Coverage","Capture/distill has launch-blocking tests.","No tests matched capture routes, bridge routes, auto-distill, label export, or tune promotion.","Root tests do not protect the capture-to-distill flywheel.","Core regressions can ship silently.","Add route and unit tests before marketing the flywheel as shipped.","open","tests/*.test.js"
"CDG-029","2026-05-12","Privacy export","Captured data export is controlled and auditable.","`/v1/labels/synthesize-corpus` can return up to 50,000 full prompt/output pairs.","There is no export audit entry, retention check, or kept-only default in that route.","A single key can export large raw corpora without audit evidence.","Add audit logging, limits by plan, and retention/triage filters.","open","src/router.js"
"CDG-030","2026-05-12","Inbox safety","The inbox minimizes sensitive data exposure by default.","`/v1/bridges/observations` returns 240-character excerpts for input and output.","This is safer than returning full bodies in the UI list.","Full-body risks remain in export and training routes rather than the inbox list.","Keep excerpted UI responses while fixing export and training filters.","solid","src/router.js; public/captures.html"
