"id","date","surface","evidence","status","risk","recommended_action","source"
"SCI-011","2026-05-12","MCP package dependency","`sdk/mcp/package.json` depends on a legacy recipe-scoped package name, while the repo's Node SDK package is `@kolmogorov/kolm-sdk`; a nested legacy package copy exists under sdk/mcp.","package_mismatch","MCP package may not install from a clean checkout or registry because its dependency name is not the local package name.","Unify package names or add a real workspace/package for the dependency.","sdk/mcp/package.json; sdk/mcp/server.mjs"
"SCI-012","2026-05-12","MCP named recipe run","MCP `recipe_run` finds a curated recipe by name, then calls `client.run`, which maps to protected `/v1/run`.","broken_public_helper","No-key MCP public recipe runs will fail unless the MCP server has an API key, contradicting public curated recipe positioning.","Use public run for curated recipes and authenticated run only for private ids.","sdk/mcp/server.mjs"
"SCI-013","2026-05-12","Python package metadata","`sdk/python/pyproject.toml` publishes project name `kolm` but only script `recipe`; README title and install command use a legacy recipe PyPI name.","package_mismatch","Python users cannot tell whether they should install `kolm`, the legacy recipe PyPI name, or use editable local mode.","Split packages or rename docs/scripts to one canonical package identity.","sdk/python/pyproject.toml; sdk/python/README.md"
"SCI-014","2026-05-12","Python Recipe base URL","`sdk/python/recipe/client.py` defaults to the legacy Railway production host; README signup uses the same old host.","stale_host","Python recipe flows can bypass `kolm.ai` and hit stale infrastructure or fail if Railway host diverges.","Default to `https://kolm.ai` and keep old host only as explicit override.","sdk/python/recipe/client.py; sdk/python/README.md"
"SCI-015","2026-05-12","Python Recipe batch request","`RecipeClient.synthesize_batch` posts `{recipes:[...]}` while server `/v1/synthesize/batch` expects `{items:[...]}`.","api_contract_mismatch","Batch synthesis through Python sends the wrong request shape.","Change Python client to `{items}` and add contract tests.","sdk/python/recipe/client.py; src/router.js:1490"
"SCI-016","2026-05-12","Python Recipe verify request","`RecipeClient.verify` posts `{source, examples}` while server `/v1/verify` expects `{source, positives, negatives}`.","api_contract_mismatch","Python verify examples are not passed to the verifier as intended.","Map examples to positives or expose positives/negatives parameters.","sdk/python/recipe/client.py; src/router.js:1526"
"SCI-017","2026-05-12","Python Recipe public run","`RecipeClient.public_run` sends `{name}` or `{recipe_id}`; server `/v1/public/run` accepts `concept_id` or `version_id`.","api_contract_mismatch","Python public shortcuts and CLI named runs cannot work against the current public-run endpoint.","Resolve names via `/v1/public/featured` or `/v1/public/concepts`, then call public run with `concept_id`.","sdk/python/recipe/client.py; src/router.js:451"
"SCI-018","2026-05-12","Python Kolm compile HTTP fallback","`Kolm.compile` fallback posts `examples_uri` and `base`, then expects response `id`; server expects `examples` and `base_model`, returns `job_id`.","api_contract_mismatch","Python compile fallback breaks when the Node CLI is absent.","Update request/response mapping to current `/v1/compile` contract.","sdk/python/kolm/client.py; src/router.js:837"
"SCI-019","2026-05-12","Python Kolm CLI bridge","`Kolm.compile` shells out with `--base`, `--json`, `--recall`, and `--recipe-pack-depth`; root CLI cloud compile supports `--base-model`, `--data`, `--examples`, `--out`, and `--deploy-hook`.","cli_contract_mismatch","Python CLI bridge can silently ignore or fail flags, so Python compile is unreliable even with Node CLI installed.","Update flags and parse the actual CLI output or use HTTP only.","sdk/python/kolm/client.py; cli/kolm.js"
"SCI-020","2026-05-12","Python package syntax check","No `python` or `py` executable is available in this environment, so Python files could not be byte-compiled locally.","unverified","Syntax and packaging health for Python SDK remain unverified in this workspace.","Run Python CI in an environment with Python 3.8+ and add mocked HTTP tests.","sdk/python"
"SCI-021","2026-05-12","Docs version claims","`public/docs.html` footer says docs v0.7.8 while package/CLI versions are 0.1.0 and server health reports 0.2.0.","version_drift","Version numbers are confusing and undermine developer trust.","Define separate docs/site/API/CLI versions or remove stale displayed version.","public/docs.html; package.json; cli/kolm.js"
"SCI-022","2026-05-12","Public docs command maturity","Docs mention commands such as `kolm tune --airgap`, `kolm rag attach`, `kolm install --apply`, and package installs that may be preview or partially implemented.","maturity_blur","Developers cannot tell which flows are stable, preview, local-only, or aspirational.","Add command maturity labels and smoke-tested quickstart paths.","public/docs.html; docs/AUTHORING.md; cli/kolm.js"
